ticker,cik,filing_date,link,long_term_outlook
FE,1031296,28-02-2012,https://www.sec.gov/Archives/edgar/data/1031296/000103129612000012/0001031296-12-000012.txt,0
CL,21665,19-02-2015,https://www.sec.gov/Archives/edgar/data/21665/000162828015000846/0001628280-15-000846.txt,0
PRU,1137774,19-02-2016,https://www.sec.gov/Archives/edgar/data/1137774/000113777416000226/0001137774-16-000226.txt,1
EBAY,1065088,28-03-2001,https://www.sec.gov/Archives/edgar/data/1065088/000109581101001836/0001095811-01-001836.txt,1
CAM,941548,25-02-2005,https://www.sec.gov/Archives/edgar/data/941548/000095012905001646/0000950129-05-001646.txt,1
PNR,77360,24-02-2015,https://www.sec.gov/Archives/edgar/data/77360/000007736015000007/0000077360-15-000007.txt,0
CL,21665,18-03-1997,https://www.sec.gov/Archives/edgar/data/21665/0000940180-97-000241.txt,1
CMS,811156,29-03-2002,https://www.sec.gov/Archives/edgar/data/811156/000095012402001143/0000950124-02-001143.txt,0
HRB,12659,30-06-2008,https://www.sec.gov/Archives/edgar/data/12659/000095013408012051/0000950134-08-012051.txt,1
TMK,320335,23-03-2000,https://www.sec.gov/Archives/edgar/data/320335/0000931763-00-000595.txt,1
KR,56873,26-03-1999,https://www.sec.gov/Archives/edgar/data/56873/0000950152-99-002475.txt,0
APA,6769,25-03-1999,https://www.sec.gov/Archives/edgar/data/6769/0000950129-99-001119.txt,1
MOS,1285785,17-02-2015,https://www.sec.gov/Archives/edgar/data/1285785/000161803415000005/0001618034-15-000005.txt,0
XRAY,818479,30-03-2000,https://www.sec.gov/Archives/edgar/data/818479/0000818479-00-000004.txt,1
PXD,1038357,29-02-2012,https://www.sec.gov/Archives/edgar/data/1038357/000119312512088998/0001193125-12-088998.txt,1
AMZN,1018724,11-02-2008,https://www.sec.gov/Archives/edgar/data/1018724/000119312508024707/0001193125-08-024707.txt,0
CVX,93410,03-03-2005,https://www.sec.gov/Archives/edgar/data/93410/000095013405004137/0000950134-05-004137.txt,1
UNP,100885,06-02-2015,https://www.sec.gov/Archives/edgar/data/100885/000119312515037518/0001193125-15-037518.txt,0
LMT,936468,26-02-2009,https://www.sec.gov/Archives/edgar/data/936468/000119312509038670/0001193125-09-038670.txt,0
AZO,866787,27-11-1996,https://www.sec.gov/Archives/edgar/data/866787/0000950144-96-008757.txt,0
UTX,101829,17-02-1998,https://www.sec.gov/Archives/edgar/data/101829/0000101829-98-000007.txt,1
QCOM,804328,06-11-2008,https://www.sec.gov/Archives/edgar/data/804328/000093639208000707/0000936392-08-000707.txt,0
WY,106535,22-02-2012,https://www.sec.gov/Archives/edgar/data/106535/000010653512000016/0000106535-12-000016.txt,1
VNO,899689,23-02-2010,https://www.sec.gov/Archives/edgar/data/899689/000089968910000004/0000899689-10-000004.txt,1
FISV,798354,25-02-2005,https://www.sec.gov/Archives/edgar/data/798354/000119312505037404/0001193125-05-037404.txt,1
CMS,811156,15-03-1995,https://www.sec.gov/Archives/edgar/data/811156/0000201533-95-000029.txt,1
INTC,50863,27-03-1998,https://www.sec.gov/Archives/edgar/data/50863/0000050863-98-000031.txt,1
HRB,12659,23-06-2011,https://www.sec.gov/Archives/edgar/data/12659/000095012311061237/0000950123-11-061237.txt,1
PCAR,75362,26-02-2007,https://www.sec.gov/Archives/edgar/data/75362/000110465907013855/0001104659-07-013855.txt,1
ATI,1018963,27-02-2012,https://www.sec.gov/Archives/edgar/data/1018963/000119312512081765/0001193125-12-081765.txt,0
REGN,872589,26-02-2009,https://www.sec.gov/Archives/edgar/data/872589/000120677409000338/0001206774-09-000338.txt,1
MAS,62996,27-02-2004,https://www.sec.gov/Archives/edgar/data/62996/000095012404000587/0000950124-04-000587.txt,1
APH,820313,20-02-2015,https://www.sec.gov/Archives/edgar/data/820313/000110465915012575/0001104659-15-012575.txt,0
MCD,63908,28-03-1996,https://www.sec.gov/Archives/edgar/data/63908/0000063908-96-000016.txt,1
CERN,804753,08-02-2013,https://www.sec.gov/Archives/edgar/data/804753/000080475313000004/0000804753-13-000004.txt,1
SIAL,90185,29-03-1996,https://www.sec.gov/Archives/edgar/data/90185/0000090185-96-000007.txt,1
KR,56873,07-04-2006,https://www.sec.gov/Archives/edgar/data/56873/000120677406000702/0001206774-06-000702.txt,1
ADSK,769397,28-03-2008,https://www.sec.gov/Archives/edgar/data/769397/000119312508068567/0001193125-08-068567.txt,0
XRX,108772,27-03-1997,https://www.sec.gov/Archives/edgar/data/108772/0000108772-97-000009.txt,1
IVZ,914208,27-02-2009,https://www.sec.gov/Archives/edgar/data/914208/000091420809000511/0000914208-09-000511.txt,1
PGR,80661,01-03-2005,https://www.sec.gov/Archives/edgar/data/80661/000095015205001650/0000950152-05-001650.txt,1
GGP,1496048,08-03-2011,https://www.sec.gov/Archives/edgar/data/1496048/000104746911001829/0001047469-11-001829.txt,0
MSFT,789019,30-07-2009,https://www.sec.gov/Archives/edgar/data/789019/000119312509158735/0001193125-09-158735.txt,1
AVY,8818,25-02-2009,https://www.sec.gov/Archives/edgar/data/8818/000095014809000021/0000950148-09-000021.txt,1
EMR,32604,14-11-2003,https://www.sec.gov/Archives/edgar/data/32604/000003260403000015/0000032604-03-000015.txt,1
