['commission', 0.59]
['file', 0.81]
['employer', 0.74]
['identification', 0.67]
['organization', 1.0]
['item', 0.55]
['property', 0.83]
['legal', 0.65]
['proceeding', 0.65]
['data', 0.52]
['selected', 0.64]
['qualitative', 0.52]
['quantitative', 0.52]
['data', 0.51]
['supplementary', 0.66]
['accountant', 0.53]
['disagreement', 0.53]
['registrant', 0.53]
['executive', 0.65]
['item', 0.53]
['compensation', 0.54]
['beneficial', 0.52]
['owner', 0.52]
['relationship', 0.55]
['expressed', 0.54]
['operationsforwardlooking', 0.58]
['movie', 0.56]
['organized', 0.62]
['principally', 0.52]
['state', 0.56]
['reincorporated', 0.55]
['anticipate', 0.51]
['beyond', 0.6]
['music', 0.52]
['dvdvideo', 0.57]
['dvdvideo', 0.51]
['largest', 0.51]
['preorder', 0.57]
['video', 0.69]
['earlystage', 0.77]
['retail', 0.57]
['segment', 0.63]
['respectively', 0.6]
['previous', 0.79]
['retail', 1.0]
['largest', 0.52]
['amazon', 0.55]
['auction', 0.57]
['zshops', 0.61]
['service', 1.0]
['segment', 0.62]
['international', 0.79]
['language', 0.52]
['localized', 0.52]
['coming', 0.52]
['associate', 0.53]
['enrolled', 0.58]
['seasonality', 0.64]
['summer', 0.64]
['incorporate', 0.51]
['environment', 0.57]
['employee', 0.54]
['fulltime', 0.53]
['one', 0.54]
['deficit', 0.85]
['indebtedness', 0.56]
['incur', 0.58]
['substantial', 0.51]
['react', 0.52]
['meet', 0.58]
['greater', 0.51]
['devote', 0.58]
['intensify', 0.57]
['pressure', 0.54]
['peak', 0.51]
['christmas', 0.52]
['extent', 0.52]
['large', 0.59]
['fluctuate', 0.58]
['reason', 0.55]
['competitor', 0.57]
['introduction', 0.65]
['internet', 0.51]
['acceptance', 0.53]
['upgrade', 0.51]
['combination', 0.54]
['brownout', 0.51]
['downtime', 0.51]
['sell', 0.52]
['variation', 0.74]
['variation', 0.53]
['carrier', 0.68]
['disruption', 0.58]
['slows', 0.55]
['train', 0.52]
['favorably', 0.54]
['occur', 0.56]
['reputation', 0.56]
['insurance', 0.54]
['person', 0.57]
['harm', 0.51]
['affect', 0.52]
['occur', 0.56]
['reputation', 0.56]
['expand', 0.51]
['effort', 0.61]
['succeed', 0.79]
['fluctuation', 0.53]
['currency', 0.54]
['political', 0.66]
['duty', 0.59]
['import', 0.57]
['licensing', 0.57]
['limitation', 0.55]
['repatriation', 0.68]
['obtaining', 0.61]
['nationalization', 1.0]
['longer', 0.57]
['cycle', 0.72]
['pricing', 0.51]
['affecting', 0.52]
['loan', 0.52]
['law', 1.0]
['local', 0.61]
['income', 0.58]
['month', 0.58]
['arrears', 0.62]
['record', 0.51]
['equity', 0.55]
['regularly', 0.52]
['loss', 0.56]
['difficulty', 0.54]
['create', 0.72]
['assimilating', 0.57]
['ongoing', 0.53]
['problem', 0.51]
['retaining', 0.51]
['acquired', 0.51]
['relationship', 0.51]
['arise', 0.74]
['inventory', 0.52]
['write', 0.59]
['automated', 0.7]
['infringed', 0.58]
['license', 0.57]
['history', 0.51]
['fluctuates', 0.63]
['trading', 0.51]
['economic', 0.55]
['trend', 0.59]
['internetrelated', 0.52]
['variation', 0.72]
['quarterly', 0.52]
['competitor', 0.69]
['analyst', 0.79]
